STAR version=2.7.11b
STAR compilation time,server,dir=2024-01-25T16:12:02-05:00 :/home/dobin/data/STAR/STARcode/STAR.master/source
STAR git: On branch master ; commit a72e5fa27331108f524211d667949dc5ff4072e8 ; diff files: CHANGES.md README.md doc/STARmanual.pdf extras/doc-latex/STARmanual.tex extras/doc-latex/parametersDefault.tex extras/docker/Dockerfile source/VERSION 
##### Command Line:
STAR --genomeDir /rhome/kzhao028/shared/Joy/references/hg38/hg38_STAR_index --readFilesIn /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz --readFilesCommand zcat --outFileNamePrefix D25XYN_6_PB1_rep3_ --outSAMtype BAM SortedByCoordinate --runThreadN 16
##### Initial USER parameters from Command Line:
outFileNamePrefix                 D25XYN_6_PB1_rep3_
###### All USER parameters from Command Line:
genomeDir                     /rhome/kzhao028/shared/Joy/references/hg38/hg38_STAR_index     ~RE-DEFINED
readFilesIn                   /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz   /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz        ~RE-DEFINED
readFilesCommand              zcat        ~RE-DEFINED
outFileNamePrefix             D25XYN_6_PB1_rep3_     ~RE-DEFINED
outSAMtype                    BAM   SortedByCoordinate        ~RE-DEFINED
runThreadN                    16     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runThreadN                        16
genomeDir                         /rhome/kzhao028/shared/Joy/references/hg38/hg38_STAR_index
readFilesIn                       /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz   /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz   
readFilesCommand                  zcat   
outFileNamePrefix                 D25XYN_6_PB1_rep3_
outSAMtype                        BAM   SortedByCoordinate   

-------------------------------
##### Final effective command line:
STAR   --runThreadN 16   --genomeDir /rhome/kzhao028/shared/Joy/references/hg38/hg38_STAR_index   --readFilesIn /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz   /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz      --readFilesCommand zcat      --outFileNamePrefix D25XYN_6_PB1_rep3_   --outSAMtype BAM   SortedByCoordinate   
----------------------------------------

Number of fastq files for each mate = 1

   Input read files for mate 1 :
-rw-r--r-- 1 kzhao028 xianglab 889479014 Dec  1 05:41 /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz

   readsCommandsFile:
exec > "D25XYN_6_PB1_rep3__STARtmp/tmp.fifo.read1"
echo FILE 0
zcat      "/rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz"


   Input read files for mate 2 :
-rw-r--r-- 1 kzhao028 xianglab 889479014 Dec  1 05:41 /rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz

   readsCommandsFile:
exec > "D25XYN_6_PB1_rep3__STARtmp/tmp.fifo.read2"
echo FILE 0
zcat      "/rhome/kzhao028/shared/seqdata/20251202-Neil_Flu_RNAseq/D25XYN_6_PB1_rep3.fastq.gz"

ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
WARNING: --limitBAMsortRAM=0, will use genome size as RAM limit for BAM sorting
Finished loading and checking parameters
Reading genome generation parameters:
### STAR   --runMode genomeGenerate      --genomeDir hg38_STAR_index   --genomeFastaFiles GRCh38.p14.genome.fa      --sjdbGTFfile gencode.v47.chr_patch_hapl_scaff.annotation.gtf   --sjdbOverhang 100
### GstrandBit=32
versionGenome                 2.7.4a     ~RE-DEFINED
genomeType                    Full     ~RE-DEFINED
genomeFastaFiles              GRCh38.p14.genome.fa        ~RE-DEFINED
genomeSAindexNbases           14     ~RE-DEFINED
genomeChrBinNbits             18     ~RE-DEFINED
genomeSAsparseD               1     ~RE-DEFINED
genomeTransformType           None     ~RE-DEFINED
genomeTransformVCF            -     ~RE-DEFINED
sjdbOverhang                  100     ~RE-DEFINED
sjdbFileChrStartEnd           -        ~RE-DEFINED
sjdbGTFfile                   gencode.v47.chr_patch_hapl_scaff.annotation.gtf     ~RE-DEFINED
sjdbGTFchrPrefix              -     ~RE-DEFINED
sjdbGTFfeatureExon            exon     ~RE-DEFINED
sjdbGTFtagExonParentTranscripttranscript_id     ~RE-DEFINED
sjdbGTFtagExonParentGene      gene_id     ~RE-DEFINED
sjdbInsertSave                Basic     ~RE-DEFINED
genomeFileSizes               3509842405   26764925916        ~RE-DEFINED
Genome version is compatible with current STAR
Number of real (reference) chromosomes= 706
1	chr1	248956422	0
2	chr2	242193529	249036800
3	chr3	198295559	491257856
4	chr4	190214555	689700864
5	chr5	181538259	880017408
6	chr6	170805979	1061683200
7	chr7	159345973	1232601088
8	chr8	145138636	1391984640
9	chr9	138394717	1537212416
10	chr10	133797422	1675624448
11	chr11	135086622	1809580032
12	chr12	133275309	1944846336
13	chr13	114364328	2078277632
14	chr14	107043718	2192834560
15	chr15	101991189	2300051456
16	chr16	90338345	2402287616
17	chr17	83257441	2492727296
18	chr18	80373285	2576089088
19	chr19	58617616	2656567296
20	chr20	64444167	2715287552
21	chr21	46709983	2779774976
22	chr22	50818468	2826698752
23	chrX	156040895	2877554688
24	chrY	57227415	3033792512
25	chrM	16569	3091202048
26	MU273365.1	482250	3091464192
27	MU273352.1	34400	3091988480
28	MU273360.1	39290	3092250624
29	KQ759759.2	204999	3092512768
30	ML143376.1	493165	3092774912
31	MU273366.1	569668	3093299200
32	KN538364.1	415308	3094085632
33	ML143355.1	292944	3094609920
34	ML143348.1	125549	3095134208
35	ML143347.1	176674	3095396352
36	ML143346.1	53476	3095658496
37	ML143352.1	254759	3095920640
38	KQ759762.2	101040	3096182784
39	ML143375.1	56695	3096444928
40	KQ031383.1	467143	3096707072
41	MU273333.1	1572686	3097231360
42	KN538369.1	541038	3098804224
43	MU273382.1	187626	3099590656
44	ML143342.1	84043	3099852800
45	ML143350.1	89956	3100114944
46	ML143362.1	192531	3100377088
47	JH159136.1	200998	3100639232
48	ML143357.1	165419	3100901376
49	ML143385.1	17435	3101163520
50	ML143378.1	461303	3101425664
51	ML143382.1	28824	3101949952
52	ML143383.1	68192	3102212096
53	ML143384.1	14678	3102474240
54	JH159137.1	191409	3102736384
55	ML143356.1	45257	3102998528
56	ML143364.1	158944	3103260672
57	ML143365.1	65394	3103522816
58	MU273369.1	434831	3103784960
59	KZ208923.1	48370	3104309248
60	MU273398.1	865743	3104571392
61	KZ208924.1	209722	3105619968
62	KQ031387.1	320750	3105882112
63	KV766195.1	140877	3106406400
64	KZ208916.1	1046838	3106668544
65	ML143363.1	7309	3107717120
66	KN538360.1	460100	3107979264
67	KZ208920.1	690932	3108503552
68	KZ208906.1	330031	3109289984
69	KN196484.1	370917	3109814272
70	KN196476.1	305979	3110338560
71	KQ983257.1	230434	3110862848
72	KN196479.1	330164	3111124992
73	MU273363.1	207371	3111649280
74	KV575245.1	154723	3111911424
75	KZ208917.1	64689	3112173568
76	MU273343.1	489404	3112435712
77	KZ208911.1	242796	3112960000
78	KN196473.1	166200	3113222144
79	KZ559108.1	305244	3113484288
80	KN196487.1	101150	3114008576
81	KQ759760.1	315610	3114270720
82	KN196475.1	451168	3114795008
83	KV880766.1	156998	3115319296
84	KV880767.1	265876	3115581440
85	MU273348.1	475876	3116105728
86	KQ090016.1	245716	3116630016
87	MU273347.1	301310	3116892160
88	ML143374.1	137908	3117416448
89	KV880764.1	142129	3117678592
90	KN538361.1	305542	3117940736
91	KN196474.1	122022	3118465024
92	ML143360.1	170928	3118727168
93	KZ559109.1	279644	3118989312
94	ML143359.1	217075	3119513600
95	KQ090022.1	181958	3119775744
96	MU273379.1	234878	3120037888
97	KV766194.1	139427	3120300032
98	KN196478.1	268330	3120562176
99	KZ559104.1	105527	3121086464
100	MU273345.1	174385	3121348608
101	MU273350.1	113364	3121610752
102	MU273364.1	340717	3121872896
103	MU273359.1	150302	3122397184
104	KN196480.1	277797	3122659328
105	ML143370.1	369264	3123183616
106	KQ090028.1	407387	3123707904
107	KN196483.1	35455	3124232192
108	KN196481.1	108875	3124494336
109	MU273390.1	336752	3124756480
110	MU273388.1	273725	3125280768
111	MU273344.1	244725	3125805056
112	KN538363.1	365499	3126067200
113	KN538362.1	208149	3126591488
114	KQ031385.1	373699	3126853632
115	KV766192.1	411654	3127377920
116	KQ031386.1	165718	3127902208
117	KQ031388.1	179932	3128164352
118	KN538365.1	14347	3128426496
119	KN538366.1	85284	3128688640
120	KN538367.1	420164	3128950784
121	ML143361.1	297568	3129475072
122	KN538370.1	86533	3129999360
123	KN538373.1	148762	3130261504
124	MU273381.1	144689	3130523648
125	KZ559113.1	480415	3130785792
126	MU273346.1	469342	3131310080
127	MU273391.1	1020778	3131834368
128	KV880765.1	468267	3132882944
129	MU273362.1	429744	3133407232
130	MU273342.1	955087	3133931520
131	MU273374.1	1154574	3134980096
132	KV766196.1	281919	3136290816
133	KN538371.1	206320	3136815104
134	KQ031384.1	481245	3137077248
135	KN538372.1	356766	3137601536
136	MU273355.1	508332	3138125824
137	KQ090021.1	264545	3138650112
138	ML143371.1	5500449	3139174400
139	KN196482.1	211377	3144679424
140	MU273380.1	538541	3144941568
141	MU273361.1	106905	3145728000
142	KZ559115.1	230843	3145990144
143	KZ208914.1	165120	3146252288
144	KZ208922.1	93070	3146514432
145	MU273384.1	333754	3146776576
146	ML143373.1	270967	3147300864
147	MU273353.1	208405	3147825152
148	MU273341.1	120381	3148087296
149	ML143369.1	97763	3148349440
150	ML143366.1	409912	3148611584
151	ML143367.1	399183	3149135872
