CY010795.1	109	2292	0	0	0	3	0	38
CY010795.1	347	434	1	1	0	3	0	37
CY010795.1	784	2064	0	0	0	6	0	31
CY010795.1	1183	1295	1	1	0	1	0	14
CY010795.1	1279	1524	2	2	0	1	0	13
CY010795.1	1513	1894	1	1	0	33	0	44
CY010795.1	1579	1894	1	1	0	7	0	30
CY010795.1	2116	2261	2	2	0	1	0	25
CY010793.1	143	2190	2	2	0	6	0	43
CY010793.1	201	2097	1	1	0	1	0	38
CY010793.1	211	1721	1	1	0	1	0	29
CY010793.1	403	1840	1	1	0	5	0	19
CY010793.1	572	1627	2	2	0	4	0	39
CY010793.1	638	700	0	0	0	3	0	31
CY010793.1	800	1333	2	2	0	1	0	22
CY010793.1	988	2002	1	1	0	1	0	30
CY010793.1	1119	2100	1	1	0	1	0	27
CY010793.1	1227	2012	1	1	0	1	0	19
CY010793.1	1374	1993	1	1	0	4	0	24
CY010793.1	1657	2097	1	1	0	4	0	17
CY010793.1	1657	2171	1	1	0	3	0	33
CY010793.1	1703	1842	2	2	0	8	0	42
CY010793.1	1734	2056	2	2	0	6	0	29
CY010793.1	1789	2159	2	2	0	4	0	15
CY010793.1	1857	2063	2	2	0	3	0	31
CY010793.1	1885	1937	1	1	0	6	0	45
CY010793.1	1930	1993	1	1	0	8	0	37
CY010793.1	1930	2097	1	1	0	4	0	14
CY010793.1	1932	2161	2	2	0	9	0	47
CY010793.1	1957	2097	1	1	0	6	0	33
CY010793.1	1957	2171	1	1	0	2	0	33
CY010793.1	1968	2159	2	2	0	3	0	29
CY010793.1	1979	2148	2	2	0	1	0	22
CY010793.1	1987	2049	2	2	0	9	0	43
CY010793.1	1987	2056	2	2	0	2	0	23
CY010793.1	1987	2159	2	2	0	31	0	41
CY010793.1	1987	2161	2	2	0	4	0	30
CY010793.1	1987	2206	2	2	0	4	0	27
CY010793.1	2036	2148	2	2	0	12	0	37
CY010793.1	2104	2221	2	2	0	7	0	12
chr1	14765	24845	1	1	1	0	4	7
chr1	14830	14969	2	2	1	0	28	44
chr1	14830	15020	2	2	1	0	3	7
chr1	14830	15795	2	2	1	1	0	24
chr1	15039	15795	2	2	1	0	11	43
chr1	15948	16606	2	2	1	0	4	40
chr1	16766	16857	2	2	1	0	7	43
chr1	17056	17232	2	2	1	0	3	14
chr1	17743	17914	2	2	1	0	5	42
chr1	18062	18267	2	2	1	0	1	29
chr1	18367	24737	2	2	1	0	1	41
chr1	23619	24737	2	2	1	0	3	6
chr1	24440	24737	2	2	1	0	5	41
chr1	24526	24737	2	2	1	0	2	11
chr1	87658	88135	1	1	0	1	0	36
chr1	92241	112699	2	2	1	0	1	27
chr1	134994	135262	1	3	0	0	2	27
chr1	135018	138007	2	4	0	1	0	20
chr1	135318	138642	2	4	0	0	2	28
chr1	149073	153353	2	2	0	0	1	34
chr1	151048	151224	2	2	0	0	1	15
chr1	168166	169048	2	2	1	0	2	34
chr1	168166	169242	2	2	0	0	1	22
chr1	169265	172556	2	2	1	0	1	6
chr1	177586	177681	2	2	1	0	8	36
chr1	185351	185490	2	2	1	0	28	44
chr1	185351	185541	2	2	1	0	3	7
chr1	185351	186316	2	2	1	0	1	12
chr1	185560	185831	2	4	1	0	2	35
